Subject,Start Date,Start Time,All Day Event,Description,Location,Private
"LG-01 Red Sox vs. LG-04 White Sox","3/29/2012","5:15:00 PM","False","  ","Fisher","False"
"SJ-02 Rebels vs. SJ-01 Hornets","4/30/2012","5:15:00 PM","False","  ","Dartmouth","False"
"SA-02 Red Sox vs. SA-01 Marlins","4/30/2012","5:15:00 PM","False","  ","Congress Springs","False"
"LG-03 Reds vs. LG-02 Giants","5/1/2012","5:15:00 PM","False","  ","Fisher","False"
"MH-02 Yankees vs. MH-01 Mets","3/11/2012","5:30:00 PM","False","  ","Pinnacle Bank","False"
"SJ-02 Rebels vs. LA-04 Jays","5/5/2012","9:00:00 AM","False","  ","Skip Mueller (Rosita)","False"
"LA-06 Tarheels vs. MH-03 Athletics","5/5/2012","9:00:00 AM","False","  ","Pinnacle Bank","False"
"MH-05 Giants vs. LA-05 Badgers","5/5/2012","12:00:00 PM","False","  ","Skip Mueller (Rosita)","False"
"SA-02 Red Sox vs. MH-02 Yankees","5/5/2012","12:00:00 PM","False","  ","Pinnacle Bank","False"
"LA-01 Cubs vs. LG-02 Giants","5/5/2012","9:00:00 AM","False","  ","Fisher","False"
"LA-02 Longhorns vs. LG-03 Reds","5/5/2012","12:00:00 PM","False","  ","Fisher","False"
"LG-04 White Sox vs. SJ-01 Hornets","5/5/2012","10:00:00 AM","False","  ","Dartmouth","False"
"LG-03 Reds vs. MH-02 Yankees","3/31/2012","3:00:00 PM","False","  ","Pinnacle Bank","False"
"SJ-01 Hornets vs. LG-01 Red Sox","5/2/2012","5:15:00 PM","False","  ","Fisher","False"
"SA-01 Marlins vs. MH-05 Giants","5/3/2012","5:30:00 PM","False","  ","Pinnacle Bank","False"
"LA-04 Jays vs. LA-01 Cubs","5/3/2012","5:15:00 PM","False","  ","Skip Mueller (Rosita)","False"
"SA-01 Marlins vs. SA-02 Red Sox","5/7/2012","5:15:00 PM","False","  ","Congress Springs","False"
"MH-02 Yankees vs. MH-04 Phillies","3/17/2012","9:00:00 AM","False","  ","Pinnacle Bank","False"
"MH-05 Giants vs. MH-01 Mets","5/21/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"MH-03 Athletics vs. MH-01 Mets","5/1/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"SJ-01 Hornets vs. LG-03 Reds","5/7/2012","5:15:00 PM","False","  ","Fisher","False"
"LA-02 Longhorns vs. LA-04 Jays","5/8/2012","5:30:00 PM","False","  ","Congress Springs","False"
