Subject,Start Date,Start Time,All Day Event,Description,Location,Private
"2012 B-02 Mets vs. 2012 B-01 Reds","5/8/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-07 Indians vs. 2012 B-03 Pirates","5/9/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-09 Rangers vs. 2012 B-10 Yankees","5/3/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-10 Yankees vs. 2012 B-06 Nationals","4/17/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-10 Yankees vs. 2012 B-04 Giants","5/10/2012","3:00:00 PM","False","  ","Blach Field","False"
"2012 B-03 Pirates vs. 2012 B-04 Giants","5/2/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-09 Rangers vs. 2012 B-06 Nationals","5/19/2012","9:00:00 AM","False","  ","Blach Field","False"
"2012 B-08 A's vs. 2012 B-07 Indians","5/19/2012","9:00:00 AM","False","  ","Covington","False"
"2012 B-04 Giants vs. 2012 B-05 Cubs","5/19/2012","12:00:00 PM","False","  ","Covington","False"
"2012 B-02 Mets vs. 2012 B-05 Cubs","5/3/2012","5:00:00 PM","False","  ","Blach Field","False"
"2012 B-03 Pirates vs. 2012 B-10 Yankees","5/19/2012","12:00:00 PM","False","  ","Blach Field","False"
"2012 B-05 Cubs vs. 2012 B-07 Indians","4/18/2012","5:00:00 PM","False","  ","Blach Field","False"
"2012 B-08 A's vs. 2012 B-10 Yankees","4/21/2012","12:00:00 PM","False","  ","Blach Field","False"
"2012 B-02 Mets vs. 2012 B-09 Rangers","5/5/2012","9:00:00 AM","False","  ","Oak Bronco Field","False"
"2012 B-06 Nationals vs. 2012 B-07 Indians","4/21/2012","9:00:00 AM","False","  ","Blach Field","False"
"2012 B-04 Giants vs. 2012 B-06 Nationals","5/15/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-03 Pirates vs. 2012 B-01 Reds","5/16/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-07 Indians vs. 2012 B-02 Mets","5/17/2012","5:00:00 PM","False","  ","Blach Field","False"
"2012 B-08 A's vs. 2012 B-06 Nationals","5/9/2012","5:00:00 PM","False","  ","Blach Field","False"
"2012 B-02 Mets vs. 2012 B-04 Giants","4/7/2012","9:00:00 AM","False","  ","Blach Field","False"
"2012 B-10 Yankees vs. 2012 B-05 Cubs","5/16/2012","5:00:00 PM","False","  ","Blach Field","False"
"2012 B-09 Rangers vs. 2012 B-08 A's","5/17/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-05 Cubs vs. 2012 B-03 Pirates","5/5/2012","12:00:00 PM","False","  ","Oak Bronco Field","False"
"2012 B-09 Rangers vs. 2012 B-05 Cubs","5/10/2012","5:00:00 PM","False","  ","Covington","False"
"2012 B-01 Reds vs. 2012 B-02 Mets","5/19/2012","3:00:00 PM","False","  ","Blach Field","False"
"2012 B-03 Pirates vs. 2012 B-02 Mets","5/12/2012","9:00:00 AM","False","  ","Blach Field","False"
"2012 B-07 Indians vs. 2012 B-04 Giants","5/12/2012","12:00:00 PM","False","  ","Blach Field","False"
"2012 B-05 Cubs vs. 2012 B-09 Rangers","5/12/2012","3:00:00 PM","False","  ","Blach Field","False"
"2012 B-01 Reds vs. 2012 B-08 A's","5/12/2012","9:00:00 AM","False","  ","Covington","False"
"2012 B-06 Nationals vs. 2012 B-10 Yankees","5/12/2012","12:00:00 PM","False","  ","Covington","False"
