,,,,,,,,,,,,
30048,Sat,"Nov 16, 2013",,check State cup schedule for younger teams,Terry,, PSA Storm 00B Black, vs., Red Star SA 00B Red,U13B - Premier - Region 2,League U11-U13 FALL,
41040,Sat,"Nov 16, 2013",,check State cup schedule for younger teams,Yannick,Slater Big, Red Star SA 02G White, vs., GSC Gryphons 02G Black,U11G - Silver 2 - Region 2,League U11-U13 FALL,
