(blank),0,,,,,,,,,,,,
,,,,,,,,,,,,,
Michael,3,,,,,,,,,,,,
#224 ,Sat,"Sep 21, 2013",,request late afternoon,Michael,,EL CAMINO REAL FL EC REAL HOLLISTER CHELSEA, vs.,RED STAR SA 99B WHITE,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
2214,Sat,"Sep 21, 2013",10:30 AM,,Michael,Hillsdale High School Small Grass, GSC Gryphons 04B Black, vs., Red Star SA 04B Black,U9 Boys Bronze 1,Region 2 League,,
#631 ,Sat,"Sep 21, 2013",2:00 PM,,Michael,Creekside Park #1,DE ANZA FORCE SC 98B BLACK, vs.,RED STAR SA 98B RED,Boys U15 Silver Region 2,Boys U15 Silver Region 2,,
Matt,2,,,,,,,,,,,,
20014,Sat,"Sep 21, 2013",8am,,Matt,Grant Park, Red Star SA 01B Red, vs., Palo Alto Soccer Club 02B Blue Victory,U12B - Premier - Region 2,League U11-U13 FALL,,
3211,Sat,"Sep 21, 2013",12pm,,Matt,Slater Big, Red Star SA 03B Red, vs., RCSC 03B Yellow,U10 Boys Silver,Region 2 League,,
Terry,2,,,,,,,,,,,,
30011,Sat,"Sep 21, 2013",,request morning,Terry,, SMC Star 00B Academy, vs., Red Star SA 00B Red,U13B - Premier - Region 2,League U11-U13 FALL,,
3313,Sat,"Sep 21, 2013",3:45 PM,,Terry,slater big, Red Star SA 03B White, vs., PSA 03B Storm Orange,U10 Boys Bronze 1,Region 2 League,,
Victor,2,,,,,,,,,,,,
11113,Sat,"Sep 21, 2013",5pm,,Victor,Slater Big, Red Star SA 02B Black, vs., Force 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
4109,Sat,"Sep 21, 2013",,request morning,Victor,, Force 04G Royal, vs., Red Star SA 04G Red,U9 Girls Silver,Region 2 League,,
Adriano,2,,,,,,,,,,,,
11114,Sat,"Sep 21, 2013",10:30 AM,morning,Adriano,Slater Big, Red Star SA 02B White, vs., Sunnyvale Alliance Soccer Club Bulls 02 Black,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
10512,Sat,"Sep 21, 2013",,afternoon,Adriano,, Burlingame SC U11 Boys Gold, vs., Red Star SA 02B Red,U11B - Gold - Region 2,League U11-U13 FALL,,
Cleber,3,,,,,,,,,,,,
40907,Sat,"Sep 21, 2013",9:15 AM,,Cleber,Slater Big, Red Star SA 02G Red, vs., West Valley YSL Magic Gold,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
2011,Sat,"Sep 21, 2013",3:45 PM,,Cleber,Slater small, Red Star SA 04B Red, vs., Santa Cruz FC Rev 04B,U9 Boys Gold,Region 2 League,,
21214,Sat,"Sep 21, 2013",1:00 PM,,Cleber,Aptos Polo Grounds County Park Field A - Closest to Dog Park, Santa Cruz FC Rev 01B Yellow, vs., Red Star SA 01B White,U12B - Silver 2 - Region 2,League U11-U13 FALL,,
Yannick,4,,,,,,,,,,,,
41012,Sat,"Sep 21, 2013",,request early morning,Yannick,, GSC Gryphons 02G Black, vs., Red Star SA 02G White,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
2211,Sat,"Sep 21, 2013",2:30 PM,,Yannick,Slater small, Red Star SA 04B White, vs., Force 04B Black,U9 Boys Bronze 1,Region 2 League,,
5112,Sat,"Sep 21, 2013",,"request late afternoon, 5pm",Yannick,, Force 03G Blue, vs., Red Star SA 03G Red,U10 Girls Silver,Region 2 League,,
1009,Sat,"Sep 21, 2013",11:30 AM,,Yannick,Cubberley North Field, Palo Alto Soccer Club 06B Blue, vs., Red Star SA 05B Red,U8 Boys Gold,Region 2 League,,
Ryan,2,,,,,,,,,,,,
1212,Sat,"Sep 21, 2013",10:30 AM,,Ryan,Slater small, Red Star SA 05B White, vs., Burlingame SC Blaze 05,U8 Boys Bronze - North,Region 2 League,,
30913,Sat,"Sep 21, 2013",2:30 PM,,Ryan,Watson Park Turf, Lobitos Koras, vs., Red Star SA 00B White,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
Cleber - Michael,1,,,,,,,,,,,,
3508,Sat,"Sep 21, 2013",8:00 AM,,Cleber - Michael,Slater Big, Red Star SA 03B Green, vs., Red Star SA 03B Black,U10 Boys Bronze 3,Region 2 League,,
