(blank),0,,,,,,,,,,,,
,,,,,,,,,,,,,
Matt,2,,,,,,,,,,,,
20038,Sat,"Nov 2, 2013",,request afternoon,Matt,, Force 01B Blue, vs., Red Star SA 01B Red,U12B - Premier - Region 2,League U11-U13 FALL,,
3241,Sat,"Nov 2, 2013",9:15 AM,,Matt,Slater Big, Red Star SA 03B Red, vs., PAC SAN JOSE Atlas Jr's 03,U10 Boys Silver,Region 2 League,,
Terry,3,,,,,,,,,,,,
30038,Sat,"Nov 2, 2013",11am,,Terry,Grant Park, Red Star SA 00B Red, vs., Force 00B Silver,U13B - Premier - Region 2,League U11-U13 FALL,,
2336,Sat,"Nov 2, 2013",,request late afternoon,Terry,, Mountain View / Los Altos SC Lynx White, vs., Red Star SA 04B Green,U9 Boys Bronze 2 - North,Region 2 League,,
3343,Sat,"Nov 2, 2013",1:15 PM,,Terry,Slater Big, Red Star SA 03B White, vs., Force 03B Black,U10 Boys Bronze 1,Region 2 League,,
Victor,1,,,,,,,,,,,,
11136,Sat,"Nov 2, 2013",9:15 AM,,Victor,Montclaire Big, Red Star SA 02B Black, vs., Alpine Strikers FC 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
Cleber,3,,,,,,,,,,,,
40922,Sat,"Nov 2, 2013",,request morning,Cleber,, West Valley YSL Magic Gold, vs., Red Star SA 02G Red,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
2034,Sat,"Nov 2, 2013",12pm,,Cleber,Slater Small, Red Star SA 04B Red, vs., SMC Star 04B Gold,U9 Boys Gold,Region 2 League,,
3527,Sat,"Nov 2, 2013",,request afternoon,Cleber,, RCSC 03B Grey, vs., Red Star SA 03B Black,U10 Boys Bronze 3,Region 2 League,,
Yannick,3,,,,,,,,,,,,
41032,Sat,"Nov 2, 2013",10:30 AM,,Yannick,Montclaire Big, Red Star SA 02G White, vs., RCSC 02G Yellow,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
2241,Sat,"Nov 2, 2013",3:45 PM,,Yannick,Slater small, Red Star SA 04B White, vs., PSA Storm 04B Black,U9 Boys Bronze 1,Region 2 League,,
1035,Sat,"Nov 2, 2013",1:30 PM,,Yannick,Watson Park 8v8 2, Lobitos Koritas, vs., Red Star SA 05B Red,U8 Boys Gold,Region 2 League,,
Ryan,2,,,,,,,,,,,,
30940,Sat,"Nov 2, 2013",4pm,,Ryan,Whisman, Red Star SA 00B White, vs., San Bruno Lowen83 Falcons,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
1241,Sat,"Nov 2, 2013",,request morning,Ryan,, Woodside SC RANGERS, vs., Red Star SA 05B White,U8 Boys Bronze - North,Region 2 League,,
Michael,3,,,,,,,,,,,,
2244,Sat,"Nov 2, 2013",10:30 AM,,Michael,Slater Small, Red Star SA 04B Black, vs., Lobitos Koritas '03,U9 Boys Bronze 1,Region 2 League,,
3525,Sat,"Nov 2, 2013",12pm,,Michael,Slater Big, Red Star SA 03B Green, vs., Woodside SC Everton,U10 Boys Bronze 3,Region 2 League,,
#650 ,Sat,"Nov 2, 2013",,request late afternoon 4pm,Michael,,SCC BREAKERS 98B BLUE, vs.,RED STAR SA 98B RED,Boys U15 Silver Region 2,Boys U15 Silver Region 2,,
Adriano,2,,,,,,,,,,,,
10540,Sat,"Nov 2, 2013",,request late afternoon 5pm,Adriano,, PSA 02B Storm Black, vs., Red Star SA 02B Red,U11B - Gold - Region 2,League U11-U13 FALL,,
11138,Sat,"Nov 2, 2013",2:30 PM,,Adriano,Watson Park 8v8 1, Lobitos Blue, vs., Red Star SA 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
Michael - Adriano,1,,,,,,,,,,,,
#243 ,Sat,"Nov 2, 2013",8am,,Michael - Adriano,Grant Park,RED STAR SA 99B RED, vs.,RED STAR SA 99B WHITE,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
