(blank),0,,,,,,,,,,,,
,,,,,,,,,,,,,
Matt,2,,,,,,,,,,,,
20031,Sat,"Oct 19, 2013",,request morning,Matt,, SMC Star 01B Academy, vs., Red Star SA 01B Red,U12B - Premier - Region 2,League U11-U13 FALL,,
3232,Sat,"Oct 19, 2013",2:30 PM,,Matt,Slater Big, Red Star SA 03B Red, vs., Evolution FC (S.F.) 03B Red,U10 Boys Silver,Region 2 League,,
Terry,3,,,,,,,,,,,,
2325,Sat,"Oct 19, 2013",,"request early morning, 8am",Terry,, Burlingame SC Heat, vs., Red Star SA 04B Green,U9 Boys Bronze 2 - North,Region 2 League,,
3332,Sat,"Oct 19, 2013",,request late afternoon,Terry,, Santa Cruz County Breakers 02B Blue, vs., Red Star SA 03B White,U10 Boys Bronze 1,Region 2 League,,
30033,Sat,"Oct 19, 2013",11am,,Terry,Grant Park, Red Star SA 00B Red, vs., Monterey County Futbol Club United 00B Red,U13B - Premier - Region 2,League U11-U13 FALL,,
Adriano,3,,,,,,,,,,,,
11131,Sat,"Oct 19, 2013",,request late afternoon,Adriano,, Alpine Strikers FC 02B White, vs., Red Star SA 02B White,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
10535,Sat,"Oct 19, 2013",10:30 AM,,Adriano,Slater Big, Red Star SA 02B Red, vs., Winchester Soccer League WSL La Piedad,U11B - Gold - Region 2,League U11-U13 FALL,,
#236,Sat,"Oct 19, 2013",8am,,Adriano,Grant Park,RED STAR SA 99B RED, vs.,DEANZA FORCE 99B WHITE,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
Victor,2,,,,,,,,,,,,
11132,Sat,"Oct 19, 2013",,request morning,Victor,, Force 02B Silver, vs., Red Star SA 02B Black,U11B - Silver 2 - Region 2 North,League U11-U13 FALL,,
4121,Sat,"Oct 19, 2013",5pm,,Victor,slater small, Red Star SA 04G Red, vs., Barcelona Bay Area Red 04G,U9 Girls Silver,Region 2 League,,
Cleber,4,,,,,,,,,,,,
40920,Sat,"Oct 19, 2013",,request early morning,Cleber,, Santa Cruz County Breakers 02G Blue, vs., Red Star SA 02G Red,U11G - Silver 1 - Region 2,League U11-U13 FALL,,
3519,Sat,"Oct 19, 2013",,request early morning,Cleber,, Force 03 Boys White, vs., Red Star SA 03B Black,U10 Boys Bronze 3,Region 2 League,,
2026,Sat,"Oct 19, 2013",3:45 PM,,Cleber,Slater Big, Red Star SA 04B Red, vs., Force 04B Blue,U9 Boys Gold,Region 2 League,,
21233,Sat,"Oct 19, 2013",1pm,,Cleber,Whisman, Red Star SA 01B White, vs., PAC SAN JOSE Atlas Jr's 2001,U12B - Silver 2 - Region 2,League U11-U13 FALL,,
Yannick,4,,,,,,,,,,,,
5132,Sat,"Oct 19, 2013",,request late afternoon,Yannick,, Burlingame SC Fire, vs., Red Star SA 03G Red,U10 Girls Silver,Region 2 League,,
41025,Sat,"Oct 19, 2013",10:30 AM,,Yannick,Montclaire Big, Red Star SA 02G White, vs., Almaden FC Quicksilver Green 02,U11G - Silver 2 - Region 2,League U11-U13 FALL,,
1028,Sat,"Oct 19, 2013",12pm,,Yannick,Slater small, Red Star SA 05B Red, vs., Force 05B Blue,U8 Boys Gold,Region 2 League,,
2231,Sat,"Oct 19, 2013",9:15 AM,,Yannick,Montclaire Big, Red Star SA 04B White, vs., GSC Gryphons 04B Black,U9 Boys Bronze 1,Region 2 League,,
Ryan,4,,,,,,,,,,,,
5333,Sat,"Oct 19, 2013",12pm,,Ryan,Slater Big, Red Star SA 03G White, vs., Force De Anza Force 03 Black Girls,U10 Girls Bronze,Region 2 League,,
1232,Sat,"Oct 19, 2013",8am,,Ryan,Slater small, Red Star SA 05B White, vs., PSV Union FC 05/06B,U8 Boys Bronze - North,Region 2 League,,
4233,Sat,"Oct 19, 2013",9:15 AM,,Ryan,Slater small, Red Star SA 04G White, vs., Force 04G Black,U9 Girls Bronze,Region 2 League,,
30934,Sat,"Oct 19, 2013",2:30 PM,,Ryan,Whisman, Red Star SA 00B White, vs., Winchester Soccer League WSL MILAN,U13B - Silver 1 - Region 2,League U11-U13 FALL,,
Michael,4,,,,,,,,,,,,
3520,Sat,"Oct 19, 2013",1:15 PM,,Michael,Slater Big, Red Star SA 03B Green, vs., RCSC 03B Grey,U10 Boys Bronze 3,Region 2 League,,
2233,Sat,"Oct 19, 2013",10:30 AM,,Michael,Slater small, Red Star SA 04B Black, vs., Burlingame SC Blast,U9 Boys Bronze 1,Region 2 League,,
#640 ,Sat,"Oct 19, 2013",4pm,,Michael,Whisman,RED STAR SA 98B RED, vs.,GRYPHONS SC GRYPHONS 98B BLUE,Boys U15 Silver Region 2,Boys U15 Silver Region 2,,
#233 ,Sat,"Oct 19, 2013",5:30 PM,,Michael,Whisman,RED STAR SA 99B WHITE, vs.,EVERGREEN UNITED EARTHQUAKES 99B BLUE,Boys U14 Silver Region 2,Boys U14 Silver Region 2,,
